X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,TypeOfSteel_A300,TypeOfSteel_A400,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas
250,373,3629947,3630060,6114,320,197,633741,40,134,1666,0,1,40,0.3001,0.5601,0.9187,0.0738,0.3844,0.5736,0.0,3.7863,2.0899,2.0531,-0.0813,-0.1902,1.0
37,217,1825287,1825355,6605,310,151,684731,38,126,1356,0,1,40,0.0546,0.4604,0.3778,0.1327,0.5806,0.4503,0.0,3.8199,2.2553,1.8325,-0.6222,-0.1901,1.0
41,213,1637218,1637282,6206,257,128,641502,39,127,1356,0,1,40,0.0605,0.4362,0.3721,0.1268,0.6693,0.5,0.0,3.7928,2.2355,1.8062,-0.6279,-0.1924,1.0
1202,1216,289529,289543,137,15,15,16692,109,134,1692,0,1,60,0.5627,0.301,1.0,0.0083,0.9333,0.9333,0.5,2.1367,1.1461,1.1461,0.0,-0.0481,0.33
43,215,1253069,1253240,13975,795,441,1630309,29,140,1400,0,1,40,0.0614,0.5249,0.9942,0.1229,0.2164,0.3878,0.0,4.1453,2.2355,2.233,-0.0058,-0.0886,1.0
0,12,645933,645992,309,13,59,27035,36,117,1353,0,1,70,0.0,0.5636,0.2034,0.0089,0.9231,1.0,1.0,2.49,1.0792,1.7708,0.7966,-0.3165,0.9373
208,228,134103,134190,952,79,90,83708,77,103,1394,0,1,220,0.2984,0.4529,0.2299,0.0143,0.2532,0.9667,1.0,2.9786,1.301,1.9395,0.7701,-0.3131,0.9999
1159,1169,301412,301420,66,12,8,7164,87,135,1690,1,0,150,0.6166,0.175,0.8,0.0059,0.8333,1.0,0.0,1.8195,1.0,0.9031,-0.2,-0.152,0.1852
1527,1565,5331249,5331309,1284,68,61,116623,42,117,1648,1,0,80,0.1007,0.4368,0.6333,0.0231,0.5588,0.9836,1.0,3.1086,1.5798,1.7781,0.3667,-0.2904,1.0
1277,1290,396403,396420,161,17,17,11803,41,95,1364,1,0,200,0.1085,0.2715,0.7647,0.0095,0.7647,1.0,1.0,2.2068,1.1139,1.2305,0.2353,-0.4273,0.3678
1164,1173,18324,18328,32,9,4,6356,191,207,1353,0,1,200,0.2661,0.1111,0.4444,0.0066,1.0,1.0,0.0,1.5051,0.9542,0.6021,-0.5556,0.5518,0.1449
1365,1378,3990693,3990730,353,13,38,27389,45,108,1387,0,1,50,0.013,0.2661,0.3514,0.0094,1.0,0.9737,1.0,2.5478,1.1139,1.5682,0.6486,-0.3938,0.767
1223,1235,456228,456249,193,19,21,19028,66,125,1360,0,1,40,0.1838,0.2341,0.5714,0.0088,0.6316,1.0,1.0,2.2856,1.0792,1.3222,0.4286,-0.2298,0.417
41,182,398837,398889,4409,191,102,456908,47,125,1362,0,1,40,0.0602,0.3987,0.3688,0.1035,0.7382,0.5098,0.0,3.6443,2.1492,1.716,-0.6312,-0.1904,1.0
37,212,2751455,2751522,6280,324,184,654471,40,124,1358,0,1,40,0.0545,0.4644,0.3829,0.1289,0.5401,0.3641,0.0,3.798,2.243,1.8261,-0.6171,-0.1858,1.0
782,804,798878,798912,576,34,34,61342,84,133,1362,0,1,40,0.8194,0.2299,0.6471,0.0161,0.6471,1.0,1.0,2.7604,1.3424,1.5315,0.3529,-0.168,0.9513
61,93,2310852,2310855,68,32,11,8808,95,166,1692,1,0,70,0.0721,0.2917,0.0938,0.0189,1.0,0.2727,0.0,1.8325,1.5051,0.4771,-0.9063,0.012,0.2018
39,214,2886302,2886367,6182,295,138,635475,42,124,1356,0,1,40,0.0575,0.4565,0.3714,0.1291,0.5932,0.471,0.0,3.7911,2.243,1.8129,-0.6286,-0.1969,1.0
556,564,1146657,1146672,108,12,15,11491,87,126,1626,0,1,120,0.6839,0.1,0.5333,0.0049,0.6667,1.0,1.0,2.0334,0.9031,1.1761,0.4667,-0.1688,0.2288
28,36,3213793,3213815,124,16,22,14618,97,141,1658,1,0,100,0.0338,0.2955,0.3636,0.0048,0.5,1.0,1.0,2.0934,0.9031,1.3424,0.6364,-0.079,0.3012
408,416,945792,945807,81,11,15,9462,107,125,1360,0,1,130,0.6,0.325,0.5333,0.0059,0.7273,1.0,1.0,1.9085,0.9031,1.1761,0.4667,-0.0874,0.2288
623,639,2003323,2003457,1004,99,134,125338,109,143,1362,0,1,100,0.9148,0.5317,0.1194,0.0117,0.1616,1.0,1.0,3.0017,1.2041,2.1271,0.8806,-0.0247,1.0
41,218,2002718,2002782,6944,256,113,723643,41,124,1358,0,1,40,0.0604,0.387,0.3616,0.1303,0.6914,0.5664,0.0,3.8416,2.248,1.8062,-0.6384,-0.1858,1.0
365,396,3866538,3866570,638,44,36,56456,53,126,1364,1,0,80,0.5352,0.3568,0.9688,0.0227,0.7046,0.8889,1.0,2.8048,1.4914,1.5051,0.0313,-0.3087,0.99
1605,1616,1116225,1116232,57,11,7,5464,82,108,1687,1,0,100,0.0842,0.2597,0.6364,0.0065,1.0,1.0,0.0,1.7559,1.0414,0.8451,-0.3636,-0.2511,0.1822
41,194,452068,452142,6170,228,137,645016,51,134,1358,0,1,40,0.0604,0.455,0.4837,0.1127,0.6711,0.5401,0.0,3.7903,2.1847,1.8692,-0.5163,-0.1833,1.0
39,195,1863816,1864008,13037,623,387,1505833,35,143,1402,0,1,40,0.0556,0.5647,0.8125,0.1113,0.2504,0.4961,1.0,4.1152,2.1931,2.2833,0.1875,-0.0976,1.0
1043,1106,4163671,4163699,980,80,46,92750,24,133,1356,1,0,200,0.3687,0.4444,0.4444,0.0465,0.7875,0.6087,0.0,2.9912,1.7993,1.4472,-0.5556,-0.2606,0.9999
0,13,159043,159085,253,36,46,35308,127,151,1687,0,1,200,0.0,0.5366,0.3095,0.0077,0.3611,0.913,1.0,2.4031,1.1139,1.6233,0.6905,0.0903,0.8355
9,18,379740,379759,110,11,19,12881,99,133,1687,0,1,200,0.0107,0.3567,0.4737,0.0053,0.8182,1.0,1.0,2.0414,0.9542,1.2787,0.5263,-0.0852,0.2942
441,462,214705,214812,1275,96,112,125462,84,117,1394,0,1,220,0.6327,0.4326,0.1963,0.0151,0.2188,0.9554,1.0,3.1055,1.3222,2.0294,0.8037,-0.2312,1.0
6,17,363701,363718,140,11,17,14533,76,125,1687,0,1,200,0.0071,0.2513,0.6471,0.0065,1.0,1.0,1.0,2.1461,1.0414,1.2305,0.3529,-0.189,0.3168
247,272,244048,244067,235,36,22,29911,119,142,1360,0,1,40,0.3632,0.5053,0.76,0.0184,0.6944,0.8636,0.0,2.3711,1.3979,1.2787,-0.24,-0.0056,0.7598
1251,1276,2371628,2371646,203,40,31,26321,121,141,1600,0,1,40,0.405,0.5489,0.72,0.0156,0.625,0.5806,0.0,2.3075,1.3979,1.2553,-0.28,0.013,0.7281
196,209,157035,157044,60,20,14,7508,117,135,1364,0,1,40,0.2874,0.4872,0.6923,0.0095,0.65,0.6429,0.0,1.7781,1.1139,0.9542,-0.3077,-0.0224,0.2253
207,225,1067022,1067027,55,19,6,7484,122,150,1372,1,0,69,0.3018,0.3889,0.2778,0.0131,0.9474,0.8333,0.0,1.7404,1.2553,0.699,-0.7222,0.0631,0.1954
899,906,844907,844932,139,14,25,16593,108,133,1356,0,1,40,0.6637,0.2057,0.28,0.0052,0.5,1.0,1.0,2.143,0.8451,1.3979,0.72,-0.0674,0.2998
1073,1078,372724,372744,73,15,20,8836,110,134,1356,0,1,175,0.41,0.27,0.25,0.0037,0.3333,1.0,1.0,1.8633,0.699,1.301,0.75,-0.0544,0.2061
41,227,1316989,1317154,12212,617,372,1398637,27,141,1402,0,1,40,0.0585,0.6021,0.8871,0.1327,0.3015,0.4435,0.0,4.0868,2.2695,2.2175,-0.1129,-0.1052,1.0
754,772,739337,739349,90,28,20,9057,91,111,1353,1,0,50,0.8588,0.5833,0.6667,0.0133,0.6429,0.6,0.0,1.9542,1.2553,1.0792,-0.3333,-0.2138,0.3601
980,1010,33416,33425,130,33,36,25944,192,212,1353,0,1,100,0.507,0.5185,0.3,0.0222,0.9091,0.25,0.0,2.1139,1.4771,0.9542,-0.7,0.5591,0.4465
50,71,143784,143858,578,73,90,67901,100,132,1353,0,1,120,0.0739,0.6281,0.2838,0.0155,0.2877,0.8222,1.0,2.7619,1.3222,1.8692,0.7162,-0.0822,0.9998
0,13,438867,438919,260,23,56,27344,46,127,1353,0,1,70,0.0,0.6154,0.25,0.0096,0.5652,0.9286,1.0,2.415,1.1139,1.716,0.75,-0.1784,0.9236
837,868,753061,753089,212,56,37,27232,119,142,1364,0,1,50,0.7273,0.7558,0.9032,0.0227,0.5536,0.7568,0.0,2.3263,1.4914,1.4472,-0.0968,0.0035,0.9775
804,817,151240,151265,133,32,25,16759,114,134,1372,0,1,40,0.809,0.5908,0.52,0.0095,0.4063,1.0,1.0,2.1239,1.1139,1.3979,0.48,-0.0156,0.5378
0,4,224005,224035,83,18,31,7446,71,108,1360,1,0,70,0.0,0.3083,0.1333,0.0029,0.2222,0.9677,1.0,1.9191,0.6021,1.4771,0.8667,-0.2991,0.2288
39,212,2070134,2070204,6399,287,132,666455,41,126,1356,0,1,40,0.0575,0.4716,0.4046,0.1276,0.6028,0.5303,0.0,3.8061,2.238,1.8451,-0.5954,-0.1863,1.0
37,261,652969,653195,18517,1021,696,2230510,25,150,1398,0,1,40,0.0529,0.6342,0.9912,0.1602,0.2194,0.3247,1.0,4.2676,2.3503,2.3541,0.0088,-0.0589,1.0
1705,1713,389963,389978,102,9,15,8359,70,95,1715,0,1,50,0.0023,0.15,0.5333,0.0047,0.8889,1.0,1.0,2.0086,0.9031,1.1761,0.4667,-0.3598,0.2288
798,825,1519629,1519634,65,28,8,8344,118,143,1648,1,0,69,0.9685,0.5185,0.1852,0.0164,0.9643,0.625,0.0,1.8129,1.4314,0.699,-0.8148,0.0029,0.2469
41,214,2896951,2897015,6509,274,139,682403,41,126,1358,0,1,40,0.0604,0.4121,0.3699,0.1274,0.6314,0.4604,0.0,3.8135,2.238,1.8062,-0.6301,-0.1809,1.0
317,322,166852,166856,15,5,4,1826,110,135,1694,1,0,143,0.3743,0.25,0.8,0.003,1.0,1.0,0.0,1.1761,0.699,0.6021,-0.2,-0.049,0.1322
243,254,205684,205730,305,37,46,14320,7,86,1692,0,1,300,0.2872,0.3972,0.2391,0.0065,0.2973,1.0,1.0,2.4843,1.0414,1.6628,0.7609,-0.6332,0.7955
41,217,1040020,1040199,15050,867,541,1751637,21,141,1400,0,1,40,0.0586,0.5223,0.9832,0.1257,0.203,0.3309,1.0,4.1775,2.2455,2.2529,0.0168,-0.0907,1.0
1536,1561,48398,48463,479,61,67,43294,82,102,1692,0,1,300,0.1549,0.7052,0.3846,0.0148,0.4098,0.9701,1.0,2.6803,1.3979,1.8129,0.6154,-0.2939,0.9998
39,209,1434944,1435012,6676,240,128,688430,37,125,1356,0,1,40,0.0575,0.4225,0.4,0.1254,0.7083,0.5313,0.0,3.8245,2.2304,1.8325,-0.6,-0.1944,1.0
144,152,127892,127903,68,10,11,8586,101,142,1618,1,0,70,0.178,0.2273,0.7273,0.0049,0.8,1.0,1.0,1.8325,0.9031,1.0414,0.2727,-0.0136,0.1934
1212,1220,198764,198776,74,12,12,13025,163,188,1387,0,1,40,0.2408,0.2292,0.6667,0.0058,0.6667,1.0,1.0,1.8692,0.9031,1.0792,0.3333,0.3751,0.2018
48,116,548048,548050,131,68,3,16504,54,190,1227,0,1,40,0.0782,0.0368,0.0294,0.0554,1.0,0.6667,0.0,2.1173,1.8325,0.301,-0.9706,-0.0157,0.2482
43,211,2300789,2300856,6279,306,149,648910,36,126,1358,0,1,40,0.0633,0.4422,0.3988,0.1237,0.549,0.4497,0.0,3.7979,2.2253,1.8261,-0.6012,-0.1926,1.0
1368,1378,929571,929600,205,14,34,21556,92,119,1387,0,1,40,0.013,0.2931,0.3448,0.0072,0.7143,0.8529,1.0,2.3117,1.0,1.4624,0.6552,-0.1785,0.4796
408,415,195003,195029,111,14,27,16728,144,158,1353,0,1,100,0.6031,0.3901,0.2692,0.0052,0.5,0.963,1.0,2.0453,0.8451,1.415,0.7308,0.1774,0.3097
979,989,891060,891079,107,18,19,12543,110,132,1372,0,1,40,0.5583,0.4368,0.5263,0.0073,0.5556,1.0,1.0,2.0294,1.0,1.2787,0.4737,-0.0842,0.3212
39,218,1750768,1750835,6543,279,160,679238,39,125,1358,0,1,40,0.0574,0.4544,0.3743,0.1318,0.6416,0.4187,0.0,3.8158,2.2529,1.8261,-0.6257,-0.189,1.0
1566,1577,2613123,2613138,106,19,15,8602,63,95,1654,1,0,100,0.0931,0.3576,0.7333,0.0066,0.5789,1.0,1.0,2.0253,1.0414,1.1761,0.2667,-0.366,0.286
